id,thingid,userid,rating,votes,helpful,year,month,day
169,21,A3LFZOAGD8JTE9,5,3,0,2001,7,7
170,21,A20IOTRKF4YRM7,5,0,0,2001,8,3
171,21,A1BRXLFWILNICE,5,10,10,2001,8,19
172,21,A3VXU7BEE97UUG,1,7,0,2001,9,17
173,21,A2B8DJ0CKN9FAO,5,3,2,2001,9,29
174,21,AGOG7P9R8NZ7T,5,3,1,2001,10,8
175,21,A3ICHEO78NFE4Y,5,1,1,2002,2,6
176,21,A2D75DJ707PFI9,5,4,3,2002,2,9
177,21,A92LD431P843F,5,8,7,2002,2,24
178,21,A2YD21XOPJ966C,5,7,5,2002,3,7
179,21,A1HY9XRPW8N2HN,4,3,2,2002,3,12
180,21,A1J2931UBBJPXM,4,3,3,2002,3,13
181,21,A13PCJSIRWAKHE,5,3,2,2002,3,15
182,21,A2WZ1B92F81LJJ,4,2,2,2002,3,16
183,21,A3UF0YWSR4I2HL,5,4,2,2002,3,31
184,21,A25JH6CO4DVINS,4,6,4,2002,4,2
185,21,A106FE8HPE6LK6,4,4,3,2002,4,5
186,21,A1T0Z4J5PPLTC7,4,11,8,2002,4,17
187,21,A24FSR37TN4MSF,5,5,3,2002,4,28
188,21,A3NOIRVMZQEBQ9,1,19,2,2002,5,9
189,21,A1APMHP8DPIS3G,5,3,1,2002,5,25
190,21,A3RRBPUGD7UOSP,5,3,0,2002,5,28
191,21,A1GGHFJL5TSU5J,5,3,1,2002,6,3
192,21,A2CXT3A901DGMP,4,2,1,2002,6,27
193,21,A2W00XKTTF1G0Z,5,12,10,2002,7,1
194,21,A31RM5QU797HPJ,4,5,1,2002,7,19
195,21,A2IMHV5ZARXIDR,5,4,3,2002,8,2
196,21,A3P121GNV5QYIN,5,2,1,2002,8,3
197,21,A3P121GNV5QYIN,5,4,4,2002,8,5
198,21,A3O2RCKAMSE9X7,5,5,4,2002,8,10
199,21,A13JQOKQVCMN9U,5,4,2,2002,8,21
200,21,A27QZDO1FRRFCV,4,5,1,2002,8,31
201,21,A3439X75UP0Q3G,4,2,1,2002,9,16
202,21,A1I7GHG2XNYO3J,5,2,1,2002,9,24
203,21,A3D550GH0U6T5C,5,2,2,2002,9,30
204,21,A2RD0B8LLOSMCQ,3,6,4,2002,10,2
205,21,A2SGR7LE899LGG,5,2,1,2002,10,19
206,21,AYPCUQS6ARWFH,4,7,7,2002,10,21
207,21,A2XLGLF0V4O7JD,5,1,1,2002,11,27
208,21,A2KVUYPLEW4LXT,5,5,5,2002,12,14
209,21,AJYGQV81FSFE2,4,2,2,2002,12,23
210,21,A1SWK29E1MZHI6,5,1,1,2003,1,12
211,21,A2NJO6YE954DBH,4,8,6,2003,2,1
212,21,A2AOZQ3WTNVVOK,5,7,7,2003,2,14
213,21,A3CS4JXY9KJ5G5,5,4,4,2003,2,26
214,21,A3DSU63A9Z43KN,5,2,2,2003,3,13
215,21,A10DB0H2NZF11E,5,2,1,2003,4,14
216,21,AAYW1H4SMNOI,5,6,5,2003,4,26
217,21,A1J83NE4U6IL7,5,10,0,2003,5,7
218,21,AW1GHENIL5V5G,5,0,0,2003,5,18
